ID,Class
0,siren
1,street_music
2,drilling
3,siren
4,dog_bark
10,street_music
11,drilling
12,gun_shot
15,dog_bark
20,engine_idling
22,air_conditioner
24,air_conditioner
26,engine_idling
27,siren
36,siren
37,jackhammer
38,street_music
40,jackhammer
43,siren
44,children_playing
45,jackhammer
46,engine_idling
47,air_conditioner
48,car_horn
50,siren
52,gun_shot
54,children_playing
56,children_playing
57,drilling
59,gun_shot
60,siren
63,drilling
65,street_music
67,children_playing
68,dog_bark
71,dog_bark
74,street_music
76,jackhammer
77,air_conditioner
78,dog_bark
81,jackhammer
83,car_horn
84,street_music
88,car_horn
90,siren
92,siren
93,street_music
97,dog_bark
100,air_conditioner
103,air_conditioner
104,jackhammer
116,drilling
118,street_music
119,drilling
120,street_music
121,jackhammer
123,drilling
125,engine_idling
128,jackhammer
130,drilling
131,car_horn
132,street_music
136,drilling
137,jackhammer
138,drilling
139,dog_bark
140,jackhammer
146,drilling
148,car_horn
153,jackhammer
159,siren
160,dog_bark
163,dog_bark
164,dog_bark
170,dog_bark
171,engine_idling
172,children_playing
174,children_playing
175,gun_shot
176,car_horn
178,jackhammer
179,drilling
185,street_music
187,drilling
188,engine_idling
189,children_playing
192,air_conditioner
193,air_conditioner
197,children_playing
200,jackhammer
202,gun_shot
208,drilling
211,siren
213,siren
214,street_music
215,dog_bark
216,drilling
218,dog_bark
219,drilling
221,dog_bark
222,jackhammer
224,dog_bark
226,air_conditioner
227,engine_idling
228,engine_idling
230,street_music
232,jackhammer
233,children_playing
239,drilling
245,dog_bark
246,siren
247,street_music
248,siren
249,siren
250,children_playing
252,dog_bark
253,siren
255,children_playing
260,children_playing
261,gun_shot
263,jackhammer
264,air_conditioner
269,jackhammer
270,drilling
271,drilling
272,drilling
275,jackhammer
276,dog_bark
277,children_playing
278,jackhammer
280,street_music
282,street_music
285,jackhammer
286,siren
299,children_playing
300,car_horn
